site_name,site_type,agency,latitude,longitude
DWR Yard,Extensometer,USGS,36.32639,-120.23028
Panoche,Extensometer,USGS,36.73278,-120.53139
Rasta,Extensometer,USGS,36.22611,-120.06528
P302,CGPS,UNAVCO,36.63475,-120.61886
BM #1,GPS,WWD,36.10897,-120.08405
BM #2,GPS,WWD,36.12310,-120.03944
BM #3,GPS,WWD,36.10879,-120.05731
BM #4,GPS,WWD,36.07276,-120.05712
BM #5,GPS,WWD,36.10145,-120.03939
CHK 6,GPS,WWD,36.09428,-120.02153
BM #7,GPS,WWD,36.09433,-119.99457
BM #8,GPS,WWD,36.10862,-120.00355
BM #9,GPS,WWD,36.64744,-120.51424
BM #10,GPS,WWD,36.63296,-120.46939
BM #11,GPS,WWD,36.58924,-120.52278
BM #12,GPS,WWD,36.58187,-120.44273
BM #13,GPS,WWD,36.49514,-120.13427
BM #14,GPS,WWD,36.53058,-120.43390
BM #15,GPS,WWD,36.44331,-120.39279
BM #16,GPS,WWD,36.50166,-120.38885
BM #17,GPS,WWD,36.09400,-119.94974
BM #18,GPS,WWD,36.16689,-119.89608
BM #19,GPS,WWD,36.22619,-119.88718
BM #20,GPS,WWD,36.28472,-119.97679
BM #21,GPS,WWD,36.21047,-120.19280
BM #22,GPS,WWD,36.41538,-120.05811
BM #23,GPS,WWD,36.38602,-120.15655
BM #24,GPS,WWD,36.44367,-120.24733
BM #25,GPS,WWD,36.61784,-120.35186
BM #26,GPS,WWD,36.77775,-120.50381
Burnside,GPS,USBR,36.48784,-120.15205
HPGN 06 07,GPS,USBR,36.50106,-120.35384
Murietta,GPS,USBR,36.63206,-120.31784
Peyton,GPS,USBR,36.70718,-120.45963
M 1194,GPS,DWR,36.71708,-120.58603
A 1093,GPS,DWR,36.57160,-120.47314
P 1093 RESET 1983,GPS,DWR,36.52043,-120.36454
132.46 L,GPS,DWR,36.46207,-120.30594
136.05 L RESET 1984,GPS,DWR,36.41367,-120.28598
H 1195,GPS,DWR,36.37546,-120.26347
L 143.12,GPS,DWR,36.32620,-120.23093
E 1075,GPS,DWR,36.29531,-120.14409
W 1096,GPS,DWR,36.22926,-120.06818
F 1097,GPS,DWR,36.14577,-120.05410
J 1097,GPS,DWR,36.11494,-120.06556
165.50 R,GPS,DWR,36.08766,-120.04926
